product_name,item_type,current_quantity,required_quantity,locations,location,last_counted_by,last_counted_date,id,created_date,updated_date,created_by_id,created_by,is_sample
Tube 5 + balloon (טובוס 5 + בלון),ציוד רפואי,2,2,"[{""location"":""חדר ניתוח"",""quantity"":2}]",,שירז איגנץ,2025-12-23T08:08:26.583Z,694a4dfa447c96dbfcb6b52d,2025-12-23T08:08:26.788000,2025-12-23T08:08:26.789000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף לכלב קוביות בקר 100 גרם,חטיפים,10,8,"[{""location"":""קבלה"",""quantity"":6},{""location"":""חדרי אשפוז"",""quantity"":4}]",,שירז איגנץ,2025-12-23T08:08:13.920Z,694a4dee4b66e388fe323a28,2025-12-23T08:08:14.092000,2025-12-23T08:08:14.092000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
מסרק דילול L,אחר,3,2,"[{""location"":""קבלה"",""quantity"":3}]",,שירז איגנץ,2025-12-23T08:07:35.907Z,694a4dc81010a0a7a24b6453,2025-12-23T08:07:36.078000,2025-12-23T08:07:36.078000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף חתולים קראנצ'י 60 גרם בטעם ברווז אמפט,חטיפים,12,8,"[{""location"":""קבלה"",""quantity"":12}]",,שירז איגנץ,2025-12-23T08:07:21.712Z,694a4db9c87d6a0f62c190df,2025-12-23T08:07:21.875000,2025-12-23T08:07:21.875000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף חתולים קראנצ'י 60 גרם בטעם טונה אמפט,חטיפים,12,8,"[{""location"":""קבלה"",""quantity"":12}]",,שירז איגנץ,2025-12-23T08:07:04.758Z,694a4da80d516c0e289740a9,2025-12-23T08:07:04.987000,2025-12-23T08:07:04.987000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף חתולים קראנצ'י 60 גרם בטעם עוף אמפט,חטיפים,12,8,"[{""location"":""קבלה"",""quantity"":12}]",,שירז איגנץ,2025-12-23T08:06:54.593Z,694a4d9eae38765beae6be66,2025-12-23T08:06:54.792000,2025-12-23T08:06:54.792000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף לכלב ענני ברווז וירק 100 גרם,חטיפים,11,8,"[{""location"":""קבלה"",""quantity"":6},{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":5}]",,שירז איגנץ,2025-12-23T08:05:56.536Z,694a4d647729ac4b8dc0e496,2025-12-23T08:05:56.915000,2025-12-23T08:05:56.915000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף לכלב לבבות עוף 100 גרם,חטיפים,12,7,"[{""location"":""קבלה"",""quantity"":8},{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":4}]",,שירז איגנץ,2025-12-23T08:04:19.918Z,694a4d042a6e1b5a66e5803e,2025-12-23T08:04:20.090000,2025-12-23T08:04:20.090000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
חטיף לכלב לבבות ברווז 100 גרם,חטיפים,12,0,"[{""location"":""קבלה"",""quantity"":8},{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":4}]",,שירז איגנץ,2025-12-23T08:03:30.117Z,694a4cd275ca2073164c012d,2025-12-23T08:03:30.286000,2025-12-23T08:03:30.286000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Dectomax 50 ml (דקטומקס 50 מל),תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-23T07:59:41.648Z,694a4bedda3a6197908fdc4f,2025-12-23T07:59:41.846000,2025-12-23T07:59:41.846000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
wire 0-2 (חוט 0-2) חבילה גדולה 36 יחידות,ציוד רפואי,2,0,"[{""location"":""חדר ניתוח"",""quantity"":2}]",,שירז איגנץ,2025-12-23T07:58:43.252Z,694a4bb3a15f0d6369535d23,2025-12-23T07:58:43.718000,2025-12-23T07:58:43.718000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
קונג צמיג S ,צעצועים,2,2,"[{""location"":""קבלה"",""quantity"":2}]",,יובל פלג - אדמין,2025-12-18T12:37:52.734Z,6943f5a08e7c8597a24505ac,2025-12-18T12:37:52.417000,2025-12-18T12:37:52.417000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
קונג צמיג M/L,צעצועים,2,2,"[{""location"":""קבלה"",""quantity"":2}]",,יובל פלג - אדמין,2025-12-18T12:35:36.282Z,6943f517a2fd78256c2641ec,2025-12-18T12:35:35.970000,2025-12-18T12:35:35.970000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
שקיות מילוי - 64 גלילים אמפט,אחר,1,1,"[{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2025-12-23T08:11:38.586Z,6943f4a1b434d2057244977d,2025-12-18T12:33:37.540000,2025-12-23T08:11:39.175000,68d7b52d0d33b12757415b50,yuval@ypeleg-eng.co.il,false
"Advantage (אדוונטג') לכלב 25-40 קג""""",תכשיר,8,4,"[{""location"":""חדר בדיקות 1"",""quantity"":8}]",,שירז איגנץ,2025-12-18T07:31:06.663Z,6943adbc708b24ac1f555d5c,2025-12-18T07:31:08.807000,2025-12-18T07:31:08.807000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Advantage (אדוונטג') לכלב 10-25 קג""""",תכשיר,8,4,"[{""location"":""חדר בדיקות 1"",""quantity"":8}]",,שירז איגנץ,2025-12-18T07:30:54.171Z,6943adb043abe4c9df916866,2025-12-18T07:30:56.059000,2025-12-18T07:30:56.059000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Advantage (אדוונטג') לכלב 4-10 קג""""",תכשיר,12,4,"[{""location"":""חדר בדיקות 1"",""quantity"":12}]",,שירז איגנץ,2025-12-18T07:28:02.461Z,6943ad04f3be326755044b1b,2025-12-18T07:28:04.356000,2025-12-18T07:28:04.356000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Advantage (אדוונטג') לכלב עד 4 קג""""",תכשיר,11,4,"[{""location"":""חדר בדיקות 1"",""quantity"":11}]",,שירז איגנץ,2025-12-18T07:27:21.902Z,6943acdc41283241f3938f3e,2025-12-18T07:27:24.082000,2025-12-18T07:27:24.082000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Morphine Kalceks 10 Mg/ml X 10 Amp (מורפין קלקס 10 מג/מ""""ל X 10 אמפר)""""",תרופה,3,2,"[{""location"":""חדר ניתוח"",""quantity"":3}]",,שירז איגנץ,2025-12-24T14:57:39.911Z,693be8cacc30430effb76cd4,2025-12-12T10:04:58.267000,2025-12-24T14:57:44.505000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Elizabethan collar 30 cm 10 pcs (קולר אליזבטי 30 סמ 10 יח)""""",ציוד רפואי,7,5,"[{""location"":""חדרי אשפוז"",""quantity"":7}]",,שירז איגנץ,2025-12-12T10:04:04.188Z,693be894a69ddf9b077884b4,2025-12-12T10:04:04.439000,2025-12-12T10:04:04.439000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Faradlon 5 mg - 100 units (פרדניסולון 5 מג - 100 יח')""""",תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-12T10:03:13.868Z,693be862c1ab52d130751488,2025-12-12T10:03:14.061000,2025-12-12T10:03:14.061000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Nexgard Spectra 7.5-15 kg (נקסגארד ספקטרה 7.5-15 קג)""""",תכשיר,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":0},{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:34:41.675Z,693be85618e5d7e12d024d25,2025-12-12T10:03:02.262000,2026-01-19T12:34:43.220000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Nexgard Spectra 30-60 kg for dogs (נקסגארד ספקטרה 30-60 קג לכלב)""""",תכשיר,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":0},{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:33:18.677Z,693be812505670c4989168e8,2025-12-12T10:01:54.434000,2026-01-19T12:33:20.245000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Nexgard Spectra 15-30 kg (נקסגארד ספקטרה 15-30 קג)""""",תכשיר,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":0},{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:35:14.582Z,693be7edf51fc4b0da92806a,2025-12-12T10:01:17.377000,2026-01-19T12:35:16.021000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Nexgard Spectra 3.5-7.5 kg (נקסגארד ספקטרה 3.5-7.5 קג)""""",תכשיר,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":0},{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:41:21.492Z,693be7c5f3bc424a1e912a01,2025-12-12T10:00:37.663000,2026-01-19T12:41:22.693000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Nexgard Spectra 2-3.5 kg (נקסגארד  ספקטרה 2-3.5 קג)""""",תכשיר,1,0,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-18T07:35:10.307Z,693be70c9c6960c132d3c6f7,2025-12-12T09:57:32.004000,2025-12-18T07:35:12.472000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Flagyl / Metronidazole 0.5% 100 Ml inj (פלאג'יל / מטרונידזול 0.5% 100 מל זריקה)""""",תרופה,2,2,"[{""location"":""חדר בדיקות 1"",""quantity"":2}]",,שירז איגנץ,2025-12-12T09:35:05.146Z,693be1cae5722b1956907cd5,2025-12-12T09:35:06.465000,2025-12-12T09:35:06.465000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Metronidazole 0.5% 100 Ml inj (מטרונידזול 0.5% 100 מל זריקה)""""",תרופה,2,2,"[{""location"":""חדר בדיקות 1"",""quantity"":2}]",,שירז איגנץ,2025-12-12T09:34:42.319Z,693be1b3df395a6acccbdca4,2025-12-12T09:34:43.717000,2025-12-12T09:34:43.717000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Sonotic ear cleaning solution 120 ml (סונוטיק תמיסה לניקוי אוזניים 120 מל)""""",תכשיר,9,4,"[{""location"":""קבלה"",""quantity"":9}]",,שירז איגנץ,2025-12-12T09:34:23.093Z,693be1a089fb3ee8d31483f9,2025-12-12T09:34:24.448000,2025-12-12T09:34:24.449000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"pethidine 50 mg/ml (פטידין 50 מג/מ""""ל)""""",תרופה,1,1,"[{""location"":""חדר ניתוח"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:33:54.850Z,693be184c3b9e3b6487c1fc2,2025-12-12T09:33:56.389000,2025-12-12T09:33:56.389000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Extensor infusion (אקסטנסור אינפוזיה) 120 סמ - 40 יח""""",ציוד רפואי,30,20,"[{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":30}]",,שירז איגנץ,2025-12-12T09:30:28.259Z,693be0b4e197ed9fa9ee19de,2025-12-12T09:30:28.459000,2025-12-12T09:30:28.459000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Tuberculin syringe 1 ml - 100 pcs (מזרק טוברקולין 1 מל - 100 יח)""""",תרופה,9,8,"[{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":9}]",,שירז איגנץ,2025-12-30T10:24:56.422Z,693be09af6b9bc0d91d430a5,2025-12-12T09:30:02.856000,2025-12-30T10:24:58.317000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Gabapentin 300mg (גבאפנטין 300 מג טבליות)""""",תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-18T07:23:11.819Z,693be0786a07287b108840af,2025-12-12T09:29:28.604000,2025-12-18T07:23:13.993000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Advantage (אדוונטג') חתול עד 4 קג""""",תכשיר,8,4,"[{""location"":""קבלה"",""quantity"":8}]",,שירז איגנץ,2025-12-12T09:29:15.736Z,693be06b54b954a053840eeb,2025-12-12T09:29:15.993000,2025-12-12T09:29:15.993000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Advantage (אדוונטג') חתול 4 קג ומעלה""""",תכשיר,8,4,"[{""location"":""קבלה"",""quantity"":8}]",,שירז איגנץ,2025-12-12T09:29:07.641Z,693be063f582a766b2d98a92,2025-12-12T09:29:07.847000,2025-12-12T09:29:07.847000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Canned food for dogs and cats 200 mg - A/D (שימורים לכלב ולחתול 200 מג - A/D)""""",מזון רפואי,24,24,"[{""location"":""קבלה"",""quantity"":24}]",,שירז איגנץ,2026-01-04T13:16:55.841Z,693be03bef7197268b8ac847,2025-12-12T09:28:27.776000,2026-01-04T13:16:59.444000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Latex gloves 100 pcs - S (לטקס 100 יח' - S),ציוד רפואי,9,5,"[{""location"":""חדרי אשפוז"",""quantity"":9}]",,שירז איגנץ,2025-12-12T09:27:06.078Z,693bdfeafe0aa8b0bc9ace60,2025-12-12T09:27:06.313000,2025-12-12T09:27:06.313000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Can of I/D wet dog food (פחית I/D רטוב כלב 360 DRO),מזון רפואי,24,18,"[{""location"":""קבלה"",""quantity"":18},{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":6}]",,שירז איגנץ,2025-12-12T09:26:33.953Z,693bdfca608e03100effed00,2025-12-12T09:26:34.126000,2025-12-12T09:26:34.126000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Royal Canin Gastro Dog 2 kg (גסטרו כלב רויאל קנין 2 קג)""""",מזון,3,3,"[{""location"":""קבלה"",""quantity"":3}]",,שירז איגנץ,2025-12-12T09:24:41.480Z,693bdf5966b3999e06710d19,2025-12-12T09:24:41.672000,2025-12-12T09:24:41.672000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Sterile urine cup 125 ml red screw cap (כוס שתן סטרילי 125 מל מכסה הברגה אדום)""""",ציוד רפואי,20,20,"[{""location"":""חדר בדיקות 1"",""quantity"":20}]",,שירז איגנץ,2025-12-21T12:17:25.275Z,693bdf4b6b4b899e9011523d,2025-12-12T09:24:27.164000,2025-12-21T12:17:25.915000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Compound drops 15 mg  (טיפות מורכבות לאוזנים 15 מג)""""",תרופה,4,4,"[{""location"":""חדר בדיקות 1"",""quantity"":3},{""location"":""חדר בדיקות 2"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:23:59.834Z,693bdf30d2f0e32852be9828,2025-12-12T09:24:00.029000,2025-12-12T09:24:00.029000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Dathamcin 10 ml (דתאמצין 10 מל)""""",תרופה,5,4,"[{""location"":""חדר בדיקות 1"",""quantity"":5}]",,שירז איגנץ,2025-12-24T15:27:01.885Z,693bdf1448817108ef9a0123,2025-12-12T09:23:32.581000,2025-12-24T15:27:06.517000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Short rap video 12 pcs (וט ראפ קצר 12 יח' - 6 סמ)""""",ציוד רפואי,36,12,"[{""location"":""חדר ניתוח"",""quantity"":12},{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":24}]",,שירז איגנץ,2025-12-12T09:23:12.217Z,693bdf00d652cd0743b508fe,2025-12-12T09:23:12.386000,2025-12-12T09:23:12.386000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Vetavencid 10mg (וטבנציד 10 מל)""""",תרופה,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:27:44.499Z,693bdede36e23683984fb778,2025-12-12T09:22:38.394000,2026-01-19T12:27:46.108000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Opthalgin ampoules (אופטלגין/ דפירון אמפולות) הזרקה iv,תרופה,2,2,"[{""location"":""חדר ניתוח"",""quantity"":2}]",,שירז איגנץ,2025-12-28T12:41:33.484Z,693bded2239235df98ec0b39,2025-12-12T09:22:26.430000,2025-12-28T12:41:34.455000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Bravecto to dog (ברבקטו טב' לכלב  40-56),תכשיר,10,10,"[{""location"":""חדר בדיקות 1"",""quantity"":6},{""location"":""קבלה"",""quantity"":4}]",,שירז איגנץ,2025-12-12T09:22:15.017Z,693bdec72cb497d0bbddbaf7,2025-12-12T09:22:15.288000,2025-12-12T09:22:15.288000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Bravecto to dog (ברבקטו טב' לכלב 20-40),תכשיר,50,30,"[{""location"":""חדר בדיקות 1"",""quantity"":40},{""location"":""קבלה"",""quantity"":10}]",,שירז איגנץ,2026-01-04T12:45:50.530Z,693bde9da60074f97d66c367,2025-12-12T09:21:33.428000,2026-01-04T12:45:54.455000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Bravecto to cat (ברבקטו חתול 2.8-6.25 קג)""""",תכשיר,1,1,"[{""location"":""קבלה"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:20:47.393Z,693bde6fa92b7b8412ccdc04,2025-12-12T09:20:47.563000,2025-12-12T09:20:47.563000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Bravecto to cat (ברבקטו חתול  6.25-12.5 קג)""""",תכשיר,4,1,"[{""location"":""קבלה"",""quantity"":4}]",,שירז איגנץ,2025-12-12T09:20:37.115Z,693bde653f8a4b6eda249c05,2025-12-12T09:20:37.584000,2025-12-12T09:20:37.584000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Elizabethan collar 15 cm (קולר אליזבטי 15 סמ)""""",ציוד רפואי,7,5,"[{""location"":""חדרי אשפוז"",""quantity"":7}]",,שירז איגנץ,2025-12-12T09:20:18.439Z,693bde52f6c91c9addaa1b04,2025-12-12T09:20:18.659000,2025-12-12T09:20:18.659000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Elizabethan collar 25 cm 10 pcs (קולר אליזבטי 25 סמ 10 יח)""""",ציוד רפואי,9,5,"[{""location"":""חדרי אשפוז"",""quantity"":9}]",,שירז איגנץ,2025-12-12T09:19:57.007Z,693bde3da8847d8219c5df36,2025-12-12T09:19:57.232000,2025-12-12T09:19:57.232000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Elizabethan collar 12.5 cm (קולר אליזבטי 12.5 סמ)""""",ציוד רפואי,10,4,"[{""location"":""חדרי אשפוז"",""quantity"":10}]",,שירז איגנץ,2025-12-12T09:19:34.939Z,693bde27a5946c923ee44217,2025-12-12T09:19:35.136000,2025-12-12T09:19:35.136000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Apoquel 5.4mg (אפוקיוויל 5.4 מג) - 100 יח'""""",תרופה,2,2,"[{""location"":""חדר בדיקות 1"",""quantity"":1},{""location"":""חדר בדיקות 2"",""quantity"":1}]",,שירז איגנץ,2025-12-30T10:24:42.094Z,693bddfae5722b1956907477,2025-12-12T09:18:50.741000,2025-12-30T10:24:43.949000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Apoquel 3.6mg (אפוקוויל 3.6 מג) - 100 יח'""""",תרופה,2,2,"[{""location"":""חדר בדיקות 1"",""quantity"":1},{""location"":""חדר בדיקות 2"",""quantity"":1}]",,שירז איגנץ,2026-01-11T07:33:03.941Z,693bdde4fe26a2d589b6cb0d,2025-12-12T09:18:28.862000,2026-01-11T07:33:04.652000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Apoquel 16mg (אפוקוויל 16 מג) - 100 יח'""""",תרופה,1,2,"[{""location"":""חדר בדיקות 1"",""quantity"":0},{""location"":""חדר בדיקות 2"",""quantity"":1}]",,שירז איגנץ,2026-01-11T07:33:15.349Z,693bddddb54eaf6cb14d02dc,2025-12-12T09:18:21.513000,2026-01-11T07:33:15.932000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Prednisolone Acetate 25Mg/ml 50ML inj. (פרדניסולון 25 מג/מ""""ל 50 מ""""ל - הזרקה)""""",תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:17:37.789Z,693bddb2ef7197268b8ac4b0,2025-12-12T09:17:38.012000,2025-12-12T09:17:38.012000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Propofol 50 ml (פרופופול 50 מל)""""",תרופה,3,2,"[{""location"":""חדר בדיקות 1"",""quantity"":3}]",,שירז איגנץ,2025-12-12T09:17:14.074Z,693bdd9a3f8a4b6eda249b93,2025-12-12T09:17:14.286000,2025-12-12T09:17:14.286000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Benip Ear Drops 15ML (טיפות אוזניים Benip 15 מל )""""",תרופה,2,5,"[{""location"":""חדר בדיקות 1"",""quantity"":2},{""location"":""חדר בדיקות 2"",""quantity"":0}]",,שירז איגנץ,2026-01-19T12:20:46.157Z,693bdd83b54eaf6cb14d029a,2025-12-12T09:16:51.834000,2026-01-19T12:20:47.648000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Ampoule volume (ווליום / אסיול -אמפולות),תרופה,1,1,"[{""location"":""חדר ניתוח"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:15:57.857Z,693bdd4e41154ca1ed2bb08d,2025-12-12T09:15:58.024000,2025-12-12T09:15:58.024000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
Domitor 1mg/ml 10ml (דומיטור הזרקה),תרופה,3,3,"[{""location"":""חדר ניתוח"",""quantity"":3}]",,שירז איגנץ,2025-12-30T10:25:34.683Z,693bdd3f614aa1123821479c,2025-12-12T09:15:43.480000,2025-12-30T10:25:36.614000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Glucose solution 50% - 500 ml (תמיסה גלוקוז 50% - 500 מל)""""",תרופה,1,1,"[{""location"":""מחסן קטן - ח. ניתוח"",""quantity"":1}]",,שירז איגנץ,2025-12-12T09:15:32.179Z,693bdd34374dc1da3c584858,2025-12-12T09:15:32.421000,2025-12-12T09:15:32.421000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Gabapentin 100 mg - 100 tabs (גבפנטין 100 מג טבליות)""""",תרופה,1,1,"[{""location"":""חדר בדיקות 1"",""quantity"":1}]",,שירז איגנץ,2026-01-19T12:18:59.428Z,693bdd2b2cb497d0bbddba64,2025-12-12T09:15:23.678000,2026-01-19T12:19:00.973000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"Bufek Multi-Dose 0.3 mg/ml - 10 ml (בופק רב-מינון 0.3 מג/מ""""ל  - 10 מ""""ל)""""",תרופה,3,2,"[{""location"":""חדר ניתוח"",""quantity"":3}]",,שירז איגנץ,2025-12-12T09:15:09.002Z,693bdd1da4ecdfe1515149ea,2025-12-12T09:15:09.176000,2025-12-12T09:15:09.176000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
"BUTOMIDOR 10 MG (בטופונול / בוטומידור 10 מג)""""",תרופה,5,2,"[{""location"":""חדר ניתוח"",""quantity"":5}]",,שירז איגנץ,2025-12-12T09:14:56.272Z,693bdd106a07287b10883e76,2025-12-12T09:14:56.571000,2025-12-12T09:14:56.571000,68f0e69727b7405c7c9a8ca1,shiraz7743@gmail.com,false
